"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005215","GO:0005215","transporter activity","177/1757","406/5554",0.435960591133005,1.37810194829409,5.38247574941818,9.80805687346104e-08,5.38462322353011e-05,5.19310800773779e-05,"YHR094C/YJR152W/YNR072W/YOR273C/YJL212C/YER053C/YLR092W/YKR039W/YDR345C/YMR319C/YDL210W/YPL271W/YMR088C/YPL092W/YEL069C/YDR529C/YJR095W/YKL016C/YNL142W/YPR191W/YNL101W/YGR243W/YOR045W/YML081C-A/YOR348C/YHL016C/YLR004C/YHR005C-A/YDR536W/YOR065W/YKR093W/YDR322C-A/YOL077W-A/YLR447C/YEL063C/YJR121W/YHL028W/YER056C/YPL274W/YNL055C/YPR194C/YOR390W/YGL008C/YNL070W/YGR138C/YHL008C/YGR260W/YCR011C/YOR306C/YNL305C/YJL193W/YBL099W/YPL078C/YJL166W/YEL020W-A/YOR161C/YNL065W/YMR155W/YFL050C/YKL217W/YMR221C/YMR162C/YDR406W/YJR135W-A/YPL265W/YLR237W/YBL030C/YDR119W/YEL065W/YIL166C/YBR235W/YNL121C/YBR298C/YOL130W/YDR086C/YGL139W/YGL077C/YHR092C/YCR098C/YGR191W/YPR124W/YIR028W/YFR033C/YCR037C/YDL067C/YMR256C/YER060W/YIL088C/YNR017W/YNR055C/YDR338C/YLR193C/YBR295W/YGL186C/YLR378C/YOR011W/YPR156C/YDR270W/YEL027W/YHR001W/YPL063W/YOL137W/YCR028C/YPR133W-A/YHR162W/YBR043C/YDR343C/YDL206W/YOR100C/YLR295C/YDL138W/YCR023C/YHR039C-A/YFL054C/YOL075C/YGR217W/YCL005W-A/YHL036W/YLL053C/YML116W/YKL120W/YEL064C/YPR020W/YDR352W/YKL053C-A/YOR049C/YMR279C/YBR091C/YEL006W/YJR106W/YOR132W/YGL080W/YER039C/YLR168C/YAL026C/YPR128C/YHR096C/YBR180W/YNL264C/YAR042W/YFL055W/YAL053W/YPL189W/YBR132C/YBR127C/YBL042C/YHR175W/YOR328W/YBR021W/YLR188W/YKR103W/YMR034C/YMR058W/YLL006W/YHL040C/YBR220C/YHR002W/YIL048W/YGR181W/YIL121W/YOL092W/YJL108C/YPR058W/YLR380W/YCL025C/YPL036W/YGR121C/YNL291C/YIL006W/YPR201W/YCR075C/YML123C/YPR011C/YKR105C/YJR124C/YCR094W/YOR079C",177
"GO:0022857","GO:0022857","transmembrane transporter activity","160/1757","365/5554",0.438356164383562,1.38567452304286,5.18507409551677,2.79525384339338e-07,7.67297180011483e-05,7.40006675382564e-05,"YHR094C/YJR152W/YNR072W/YOR273C/YJL212C/YER053C/YLR092W/YKR039W/YDR345C/YMR319C/YDL210W/YPL271W/YMR088C/YPL092W/YEL069C/YDR529C/YJR095W/YKL016C/YNL142W/YPR191W/YNL101W/YGR243W/YOR045W/YML081C-A/YOR348C/YHL016C/YLR004C/YDR536W/YOR065W/YKR093W/YDR322C-A/YOL077W-A/YLR447C/YEL063C/YJR121W/YHL028W/YER056C/YPL274W/YNL055C/YPR194C/YOR390W/YGL008C/YNL070W/YGR138C/YHL008C/YGR260W/YCR011C/YOR306C/YNL305C/YJL193W/YBL099W/YPL078C/YJL166W/YOR161C/YNL065W/YMR155W/YFL050C/YKL217W/YMR221C/YDR406W/YPL265W/YLR237W/YBL030C/YDR119W/YEL065W/YIL166C/YBR235W/YNL121C/YBR298C/YOL130W/YDR086C/YGL139W/YGL077C/YHR092C/YCR098C/YGR191W/YPR124W/YIR028W/YFR033C/YCR037C/YDL067C/YMR256C/YER060W/YIL088C/YNR017W/YNR055C/YDR338C/YBR295W/YGL186C/YLR378C/YOR011W/YPR156C/YDR270W/YEL027W/YPL063W/YOL137W/YCR028C/YPR133W-A/YHR162W/YBR043C/YDR343C/YDL206W/YOR100C/YLR295C/YDL138W/YCR023C/YHR039C-A/YFL054C/YOL075C/YGR217W/YCL005W-A/YHL036W/YLL053C/YML116W/YKL120W/YEL064C/YPR020W/YDR352W/YOR049C/YMR279C/YBR091C/YEL006W/YJR106W/YGL080W/YER039C/YPR128C/YHR096C/YBR180W/YFL055W/YAL053W/YPL189W/YBR132C/YBR127C/YBL042C/YHR175W/YOR328W/YBR021W/YLR188W/YKR103W/YMR034C/YMR058W/YHL040C/YBR220C/YHR002W/YIL121W/YOL092W/YJL108C/YPR058W/YCL025C/YPL036W/YGR121C/YNL291C/YIL006W/YPR201W/YCR075C/YML123C/YPR011C/YKR105C/YJR124C/YOR079C",160
"GO:0016491","GO:0016491","oxidoreductase activity","134/1757","317/5554",0.422712933753943,1.33622517590746,4.19322332143627,2.62807188481356e-05,0.00480937154920881,0.00463831634407445,"YJL052W/YGL055W/YNR073C/YGR088W/YGR060W/YMR145C/YPR167C/YFR030W/YOL126C/YLR142W/YPR127W/YIL155C/YHL021C/YHR183W/YMR015C/YDR529C/YPR191W/YDL168W/YBR052C/YCL018W/YER132C/YML087C/YNL134C/YEL070W/YBL064C/YKL085W/YOL086C/YKL148C/YLR056W/YMR009W/YHR176W/YML075C/YOR065W/YMR170C/YHR007C/YJR159W/YDL243C/YCL035C/YGR175C/YOR381W/YGL157W/YGL001C/YOR374W/YMR303C/YKL195W/YIL074C/YFL018C/YKL182W/YNL037C/YHR008C/YJL166W/YLR043C/YMR272C/YML028W/YEL071W/YML054C/YGL205W/YHR037W/YLR364W/YJL045W/YNR074C/YGR209C/YPL231W/YLR109W/YJR009C/YLR164W/YLR214W/YLR100W/YHR055C/YJR137C/YHR067W/YOR384W/YJR111C/YER141W/YKR009C/YKR076W/YGR204W/YBR010W/YML130C/YCR107W/YPL171C/YNL241C/YDR513W/YPL088W/YFR033C/YOL152W/YFR049W/YDR032C/YDL067C/YMR256C/YPL061W/YGL148W/YGR154C/YPL252C/YHR106W/YJR119C/YDR541C/YLR174W/YAL061W/YGR256W/YJR155W/YKL026C/YGL012W/YLR450W/YDL015C/YMR169C/YDL085W/YER049W/YJR101W/YOR288C/YGL185C/YDR506C/YHR039C/YCR102C/YCR105W/YJR078W/YDR197W/YML125C/YER073W/YNL229C/YCL026C-B/YDR098C/YMR058W/YER101C/YLL051C/YMR318C/YNL280C/YOR388C/YDR402C/YGL256W/YML019W/YKL055C/YNL202W/YBR213W",134
