"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YGR087C",512.645887784479,-4.94631987978328,0.20913905855212,975.396015339251,1.56836244303526e-212,8.73734717014943e-209
"YCR105W",610.523669222728,-5.62567514039268,1.22153556240532,970.099178268173,2.2163583977783e-211,6.17366631701145e-208
"YEL070W",340.848597344457,10.6469496699352,1.03931933532466,798.771011779753,3.54061446967731e-174,6.57492107019076e-171
"YHR094C",673.17594605345,-5.03577778874787,0.216202490264669,746.915758140321,6.44620179180837e-163,8.97794754554111e-160
"YEL069C",441.177623544241,9.75928873032555,0.857012926751732,590.196414949896,6.92591048413069e-129,7.71684946141841e-126
"YNR071C",1051.54485673005,8.91120810259096,0.416927105240236,569.33886218228,2.34226975525852e-124,2.17479746775754e-121
"YJL052W",13178.3220154818,-5.25992872462849,0.20379166789323,560.391039163021,2.05414923315628e-122,1.63480933970195e-119
"YGR088W",705.642702769732,-4.46381274351523,0.240853697686564,537.171105576801,2.26347918497029e-117,1.57623031743368e-114
"YKL164C",350.387715124862,3.97699606155745,0.188618919167646,530.004383468493,8.14723864325643e-116,5.04314072017573e-113
"YOR273C",430.743887212398,-3.99640150249061,0.206213579764735,521.487384407034,5.76040853152189e-114,3.20912359291085e-111
"YGL055W",2352.2693340143,-4.64509207842695,0.191306449655102,506.424090338384,1.07499397848344e-110,5.44435586739205e-108
"YEL071W",258.34235603211,-9.15583433881007,1.1996105684876,481.872233939986,2.30554662164063e-105,1.07035001909666e-102
"YPL095C",392.27142771151,-3.81400088694969,0.218003886732857,475.397202225653,5.87231279357644e-104,2.51651189023187e-101
"YFL068W",115.195505081861,-10.2845409817795,1.19259846696097,463.882336586082,1.8587906709462e-101,7.39665916274378e-99
"YIR019C",10425.377635097,5.56511160453241,0.229886936394254,450.066038515756,1.85952272537753e-98,6.90626740205215e-96
"YBR117C",204.515565468977,2.93923874825352,0.21105417507752,436.765516628263,1.43738504285359e-95,5.00479504608584e-93
"YKR097W",375.168314065009,4.03812844934338,0.262407100564543,423.557875754588,1.06065928117553e-92,3.47584285613464e-90
"YJL158C",230.917948709932,4.44668163412135,0.232973374846115,420.591290513503,4.67478559052987e-92,1.44684614026899e-89
"YGR296W",46.8586156756826,-9.2100502523762,1.2026841659914,409.276752396254,1.33869743576711e-89,3.92520179718873e-87
"YJR152W",1286.15812408254,-3.43343810530603,0.163118451156617,392.886942556744,4.84935991095059e-86,1.35078920319529e-83
"YNR073C",1904.60928137111,8.1202050846978,0.359226938630183,387.00208026167,9.19530266394933e-85,2.43938243527913e-82
"YJL212C",246.409071050221,-5.19279696182514,0.310864322368308,386.348696035302,1.27481337308891e-84,3.22817513703561e-82
"YKR075C",303.994308974511,3.33079273637025,0.203952339532619,380.1409453944,2.84081226847251e-83,6.88094136854798e-81
"YDR085C",267.256585194172,2.85531686645986,0.207507190943428,365.262160657192,4.83425538042175e-80,1.1221515301804e-77
"YPR127W",355.5423166077,2.46842714744908,0.182729428543377,361.695284791681,2.87651631948923e-79,6.4100289663498e-77
"YCR012W",5526.26246218179,-4.19190547471309,0.210565695026073,350.52735831187,7.6551069831779e-77,1.6402538847417e-74
"YDR403W",111.055458893402,4.20329724580144,0.301431653516983,338.499026714695,3.13235000828874e-74,6.46308218376909e-72
"YGR201C",158.135015927399,-3.03098181413484,0.233978803948383,333.901072277044,3.12106924563024e-73,6.20981313121644e-71
"YNL141W",202.857306710196,-2.61239001775246,0.203492233011005,332.691646130793,5.71382526489674e-73,1.0976455362324e-70
"YNR072W",852.138446820917,5.40047178817799,0.272309231372057,327.536498982957,7.52233958116869e-72,1.39689846022303e-69
"YDR545W",52.2105808678613,-9.34033325106443,1.21110374436919,320.306553498337,2.79457422482618e-70,5.02212032467957e-68
