"","Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"11","Upregulated","GO:0006099","tricarboxylic acid cycle","12/546","30/6447",0.4,4.72307692307692,6.21692004032766,2.52169296559567e-06,0.000309709745138159,0.000281609157019153,"YPL262W/YNR001C/YLR174W/YER065C/YNL037C/YOR136W/YPR001W/YNL117W/YFR049W/YGR244C/YJL200C/YLR304C",12
"12","Upregulated","GO:0009152","purine ribonucleotide biosynthetic process","15/546","46/6447",0.326086956521739,3.85033444816053,5.90105263572317,2.94112971683411e-06,0.000331122187286906,0.000301078805223281,"YKL016C/YDR322C-A/YDL004W/YPL271W/YJR121W/YPL078C/YLR295C/YDR226W/YML081C-A/YOR128C/YPR020W/YOL077W-A/YML022W/YGL234W/YER170W",15
"13","Upregulated","GO:0007007","inner mitochondrial membrane organization","13/546","37/6447",0.351351351351351,4.14864864864865,5.84217703451594,5.31148080151325e-06,0.000551985427911108,0.000501902679786718,"YDR322C-A/YLR168C/YFR011C/YHR005C-A/YLR295C/YBR091C/YBR185C/YBR262C/YJR135W-A/YPR020W/YGR181W/YEL020W-A/YPL098C",13
"14","Upregulated","GO:0009145","purine nucleoside triphosphate biosynthetic process","10/546","24/6447",0.416666666666667,4.91987179487179,5.85176918292493,1.15123823536658e-05,0.00103688190398683,0.000942803523279153,"YKL016C/YDR322C-A/YDL004W/YPL271W/YJR121W/YPL078C/YLR295C/YML081C-A/YPR020W/YOL077W-A",10
"15","Upregulated","GO:0009206","purine ribonucleoside triphosphate biosynthetic process","10/546","24/6447",0.416666666666667,4.91987179487179,5.85176918292493,1.15123823536658e-05,0.00103688190398683,0.000942803523279153,"YKL016C/YDR322C-A/YDL004W/YPL271W/YJR121W/YPL078C/YLR295C/YML081C-A/YPR020W/YOL077W-A",10
"16","Upregulated","GO:0007005","mitochondrion organization","36/546","205/6447",0.175609756097561,2.07354596622889,4.75132083603172,1.64891484373419e-05,0.00135384326176507,0.00123100633953783,"YDR322C-A/YMR002W/YLR168C/YMR012W/YDR529C/YFR011C/YMR241W/YHR005C-A/YLR259C/YML091C/YLR295C/YOR045W/YBR091C/YBR185C/YML081C-A/YLL009C/YLR038C/YBR262C/YBL059C-A/YJR135W-A/YPR020W/YGR181W/YEL020W-A/YDR512C/YDR296W/YIR021W/YIL156W-B/YDL059C/YJR034W/YLR304C/YIR024C/YKL137W/YMR134W/YLR218C/YJR120W/YPL098C",36
"17","Upregulated","GO:0030490","maturation of SSU-rRNA","25/546","120/6447",0.208333333333333,2.4599358974359,4.91025625680411,1.75675706241476e-05,0.00135384326176507,0.00123100633953783,"YBR189W/YML063W/YER074W/YOR310C/YML026C/YER102W/YPL090C/YLR264W/YMR143W/YBR181C/YOR369C/YDL166C/YDR064W/YIL069C/YLL011W/YHR065C/YBR048W/YGR081C/YLR435W/YDR299W/YLR068W/YGR128C/YOL010W/YFR001W/YOR078W",25
"18","Upregulated","GO:0042255","ribosome assembly","20/546","85/6447",0.235294117647059,2.77828054298643,5.01985961399863,1.9021652836063e-05,0.00135384326176507,0.00123100633953783,"YKL009W/YGR085C/YNL302C/YER131W/YML024W/YLR075W/YIL148W/YIL070C/YKR094C/YOL121C/YLR264W/YDR447C/YEL054C/YLR009W/YOR369C/YPR102C/YLR448W/YBR048W/YKL006W/YPL211W",20
"19","Upregulated","GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","23/546","106/6447",0.216981132075472,2.56204644412192,4.93226796364686,1.90399866569476e-05,0.00135384326176507,0.00123100633953783,"YBR189W/YML063W/YER074W/YOR310C/YML026C/YER102W/YPL090C/YMR143W/YBR181C/YDL166C/YDR064W/YIL069C/YLL011W/YHR065C/YBR048W/YGR081C/YLR435W/YDR299W/YLR068W/YGR128C/YOL010W/YFR001W/YOR078W",23
"20","Upregulated","GO:0009142","nucleoside triphosphate biosynthetic process","11/546","32/6447",0.34375,4.05889423076923,5.27618219247351,3.6081141702455e-05,0.00243728112200083,0.00221614170351395,"YKL016C/YDR322C-A/YDL004W/YPL271W/YJR121W/YPL078C/YLR295C/YML081C-A/YPR020W/YOL077W-A/YER170W",11
