"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","comparison","SGD","GENENAME","ENTREZID","label"
"YNR036C",245.825070233809,0.585792794536342,0.219081896752887,2.67422423346736,0.00749023503698236,0.0219852999952733,"Thin_vs_Early","S000005319","MRPS12","855772","MRPS12"
"YGR208W",23.1733632081042,0.898553294740392,0.335171752194827,2.67338763048811,0.00750894281484542,0.0220286047506603,"Thin_vs_Early","S000003440","SER2","853122","SER2"
"YIL013C",84.8013576647026,-0.568060245097976,0.212477664295844,-2.67222219190869,0.00753507371966569,0.0220936293117145,"Thin_vs_Early","S000001275","PDR11","854802","PDR11"
"YDR479C",105.630940936761,-0.624468992220099,0.23406184047371,-2.67027821282013,0.00757884216010247,0.0222102733687169,"Thin_vs_Early","S000002887","PEX29","852090","PEX29"
"YJR064W",140.736500131144,0.648969398505016,0.243078369683788,2.66941268753546,0.00759840257865673,0.0222558889409551,"Thin_vs_Early","S000003825","CCT5","853527","CCT5"
"YMR167W",58.4448198931027,-0.641749525206431,0.240347341839771,-2.66648087949804,0.00766499664022602,0.0224391467591693,"Thin_vs_Early","S000004777","MLH1","855203","MLH1"
"YIL022W",59.6022005184398,0.661570579924057,0.248224300805135,2.66538216177785,0.00769008772483227,0.0224771661673875,"Thin_vs_Early","S000001284","TIM44","854790","TIM44"
"YLR343W",39.8442733372174,-0.844716629358797,0.317908388968022,-2.66551264300819,0.00768710411741296,0.0224771661673875,"Thin_vs_Early","S000004335","GAS2","851056","GAS2"
"YML043C",26.2085542446741,0.980796959340857,0.367274486006077,2.66562708045848,0.00768448822398333,0.0224771661673875,"Thin_vs_Early","S000004507","RRN11","854964","RRN11"
"YBR076W",22.3206352371541,-1.00854476134958,0.379474141939304,-2.66504818312322,0.00769772926977713,0.0224877030739006,"Thin_vs_Early","S000000280","ECM8","852368","ECM8"
"YFL024C",97.2937723082247,-0.565748060132084,0.212549107057473,-2.66301474177893,0.00774440212614308,0.0226121930003895,"Thin_vs_Early","S000001870","EPL1","850520","EPL1"
