"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019362","GO:0019362","pyridine nucleotide metabolic process","43/1759","86/5557",0.5,1.57959067652075,3.68615690067144,0.000273836657157831,0.0254242616781495,0.0238704751055694,"YJL052W/YCR012W/YMR145C/YHR174W/YAL038W/YKL060C/YBR117C/YIL155C/YHR183W/YKL152C/YGL253W/YOL086C/YGR254W/YPL075W/YBR196C/YOL136C/YOR374W/YMR303C/YGR043C/YLR231C/YDR050C/YHR202W/YNL129W/YJR009C/YLR446W/YOR344C/YNL241C/YDL021W/YNL200C/YPL061W/YGR240C/YLR174W/YGR256W/YGL037C/YDL085W/YHR074W/YOL056W/YJR078W/YOR347C/YEL041W/YGR010W/YCL047C/YDR400W",43
"GO:0072526","GO:0072526","pyridine-containing compound catabolic process","21/1759","34/5557",0.617647058823529,1.95125907099622,3.78605837757272,0.000276655103604447,0.0254242616781495,0.0238704751055694,"YJL052W/YCR012W/YHR174W/YAL038W/YKL060C/YPR127W/YKL152C/YGL253W/YGR254W/YPL075W/YBR196C/YOL136C/YDR050C/YHR202W/YJR009C/YLR446W/YOR344C/YDL021W/YGR240C/YOL056W/YOR347C",21
"GO:0009134","GO:0009134","nucleoside diphosphate catabolic process","20/1759","32/5557",0.625,1.97448834565094,3.76202827729322,0.000308406179995803,0.0254242616781495,0.0238704751055694,"YJL052W/YCR012W/YHR174W/YAL038W/YKL060C/YKL152C/YGL253W/YGR254W/YPL075W/YBR196C/YOL136C/YDR050C/YJR009C/YLR446W/YOR344C/YDL021W/YGR240C/YOL056W/YER005W/YOR347C",20
"GO:0019364","GO:0019364","pyridine nucleotide catabolic process","20/1759","32/5557",0.625,1.97448834565094,3.76202827729322,0.000308406179995803,0.0254242616781495,0.0238704751055694,"YJL052W/YCR012W/YHR174W/YAL038W/YKL060C/YKL152C/YGL253W/YGR254W/YPL075W/YBR196C/YOL136C/YDR050C/YHR202W/YJR009C/YLR446W/YOR344C/YDL021W/YGR240C/YOL056W/YOR347C",20
"GO:0006096","GO:0006096","glycolytic process","19/1759","30/5557",0.633333333333333,2.00081485692628,3.74029792986282,0.000341473600072827,0.0254242616781495,0.0238704751055694,"YJL052W/YCR012W/YHR174W/YAL038W/YKL060C/YKL152C/YGL253W/YGR254W/YPL075W/YBR196C/YOL136C/YDR050C/YJR009C/YLR446W/YOR344C/YDL021W/YGR240C/YOL056W/YOR347C",19
"GO:0009137","GO:0009137","purine nucleoside diphosphate catabolic process","19/1759","30/5557",0.633333333333333,2.00081485692628,3.74029792986282,0.000341473600072827,0.0254242616781495,0.0238704751055694,"YJL052W/YCR012W/YHR174W/YAL038W/YKL060C/YKL152C/YGL253W/YGR254W/YPL075W/YBR196C/YOL136C/YDR050C/YJR009C/YLR446W/YOR344C/YDL021W/YGR240C/YOL056W/YOR347C",19
"GO:0009181","GO:0009181","purine ribonucleoside diphosphate catabolic process","19/1759","30/5557",0.633333333333333,2.00081485692628,3.74029792986282,0.000341473600072827,0.0254242616781495,0.0238704751055694,"YJL052W/YCR012W/YHR174W/YAL038W/YKL060C/YKL152C/YGL253W/YGR254W/YPL075W/YBR196C/YOL136C/YDR050C/YJR009C/YLR446W/YOR344C/YDL021W/YGR240C/YOL056W/YOR347C",19
"GO:0046032","GO:0046032","ADP catabolic process","19/1759","30/5557",0.633333333333333,2.00081485692628,3.74029792986282,0.000341473600072827,0.0254242616781495,0.0238704751055694,"YJL052W/YCR012W/YHR174W/YAL038W/YKL060C/YKL152C/YGL253W/YGR254W/YPL075W/YBR196C/YOL136C/YDR050C/YJR009C/YLR446W/YOR344C/YDL021W/YGR240C/YOL056W/YOR347C",19
"GO:0015849","GO:0015849","organic acid transport","39/1759","77/5557",0.506493506493506,1.60010484115089,3.6084340454013,0.000372140828630494,0.0265028990129022,0.0248831922484738,"YJR152W/YKR039W/YDL210W/YJR095W/YNL101W/YGR243W/YOR348C/YMR246W/YKR013W/YEL063C/YGR260W/YJL193W/YNL065W/YKL217W/YEL062W/YPL265W/YIL166C/YGL077C/YGR191W/YIL088C/YCR028C/YHR162W/YBR043C/YJL079C/YHL036W/YKL120W/YEL064C/YOR049C/YGL080W/YJL078C/YMR034C/YOL147C/YIL121W/YPR058W/YCL025C/YIL006W/YCR075C/YKR105C/YKL187C",39
"GO:0015846","GO:0015846","polyamine transport","11/1759","14/5557",0.785714285714286,2.48221392024689,3.77867050995041,0.000410847421530883,0.0279642433506149,0.0262552275144582,"YOR273C/YKR039W/YDL210W/YHL016C/YPL274W/YGR138C/YNR055C/YPR156C/YBR043C/YBR132C/YJR059W",11
"GO:0046942","GO:0046942","carboxylic acid transport","38/1759","75/5557",0.506666666666667,1.60065188554103,3.56385904550375,0.000436931690595298,0.0279642433506149,0.0262552275144582,"YJR152W/YKR039W/YDL210W/YJR095W/YNL101W/YGR243W/YOR348C/YMR246W/YKR013W/YEL063C/YGR260W/YJL193W/YNL065W/YKL217W/YEL062W/YPL265W/YGL077C/YGR191W/YIL088C/YCR028C/YHR162W/YBR043C/YJL079C/YHL036W/YKL120W/YEL064C/YOR049C/YGL080W/YJL078C/YMR034C/YOL147C/YIL121W/YPR058W/YCL025C/YIL006W/YCR075C/YKR105C/YKL187C",38
"GO:0046496","GO:0046496","nicotinamide nucleotide metabolic process","42/1759","85/5557",0.494117647058824,1.56100725679698,3.54683883985007,0.000443876878581189,0.0279642433506149,0.0262552275144582,"YJL052W/YCR012W/YMR145C/YHR174W/YAL038W/YKL060C/YBR117C/YIL155C/YHR183W/YKL152C/YGL253W/YOL086C/YGR254W/YPL075W/YBR196C/YOL136C/YOR374W/YMR303C/YGR043C/YLR231C/YDR050C/YHR202W/YNL129W/YJR009C/YLR446W/YOR344C/YNL241C/YDL021W/YNL200C/YPL061W/YGR240C/YLR174W/YGR256W/YDL085W/YHR074W/YOL056W/YJR078W/YOR347C/YEL041W/YGR010W/YCL047C/YDR400W",42
"GO:0006825","GO:0006825","copper ion transport","13/1759","18/5557",0.722222222222222,2.28163097719664,3.70612551859927,0.000476118726928945,0.0284828687432113,0.0267421574666356,"YER053C/YMR319C/YLL009C/YOR381W/YLR214W/YOR384W/YPR124W/YOL152W/YDR270W/YNL259C/YHR175W/YLL051C/YIL121W",13
"GO:0006195","GO:0006195","purine nucleotide catabolic process","21/1759","35/5557",0.6,1.8955088118249,3.61653142173364,0.000486886645183099,0.0284828687432113,0.0267421574666356,"YJL052W/YCR012W/YHR174W/YAL038W/YKL060C/YKL152C/YGL253W/YGR254W/YPL075W/YBR196C/YOL136C/YDR050C/YHR202W/YJR009C/YLR446W/YOR344C/YDL021W/YGR240C/YOL056W/YOR347C/YBR252W",21
"GO:0009261","GO:0009261","ribonucleotide catabolic process","20/1759","33/5557",0.606060606060606,1.9146553654797,3.58611472693867,0.000551585307879123,0.0311550598036553,0.0292510393760943,"YJL052W/YCR012W/YHR174W/YAL038W/YKL060C/YKL152C/YGL253W/YGR254W/YPL075W/YBR196C/YOL136C/YDR050C/YJR009C/YLR446W/YOR344C/YDL021W/YGR240C/YOL056W/YER005W/YOR347C",20
"GO:0015718","GO:0015718","monocarboxylic acid transport","18/1759","29/5557",0.620689655172414,1.96087118464645,3.53034143075393,0.000697822619056329,0.0381011150004756,0.0357725911032034,"YJR152W/YGR243W/YMR246W/YKR013W/YJL193W/YNL065W/YKL217W/YCR028C/YHR162W/YJL079C/YKL120W/YOR049C/YGL080W/YJL078C/YMR034C/YOL147C/YIL006W/YKL187C",18
"GO:0000097","GO:0000097","sulfur amino acid biosynthetic process","21/1759","36/5557",0.583333333333333,1.84285578927421,3.45248824879312,0.000823033758145513,0.0420801084486777,0.0395084110555351,"YKL001C/YPR167C/YLR303W/YKR069W/YNL277W/YAL012W/YIR017C/YMR009W/YER052C/YFR055W/YLL062C/YJR137C/YGR204W/YNL103W/YGL184C/YLL058W/YJR024C/YHR208W/YJR148W/YPL273W/YPR118W",21
