"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0016128","GO:0016128","phytosteroid metabolic process",38,-0.633945654484715,-2.2731642253768,2.94965194413434e-06,7.11812233310909e-05,5.43649851868255e-05,1193,"tags=63%, list=21%, signal=50%","YML008C/YML126C/YER125W/YNR019W/YHR190W/YMR220W/YLR228C/YNL280C/YMR208W/YGL012W/YMR202W/YLR450W/YCR048W/YLR100W/YHR072W/YPL028W/YNR043W/YHR007C/YGL001C/YGR175C/YLR056W/YML075C/YGR060W/YMR015C"
"GO:0006694","GO:0006694","steroid biosynthetic process",42,-0.610186820749025,-2.21265650218023,3.50984034289387e-06,8.31312184918752e-05,6.34918486979632e-05,570,"tags=50%, list=10%, signal=45%","YHR190W/YMR220W/YLR228C/YNL280C/YNL264C/YMR208W/YGL012W/YMR202W/YLR450W/YLR100W/YHR072W/YPL028W/YNR043W/YHR007C/YGL001C/YGR175C/YLR056W/YNL111C/YML075C/YGR060W/YMR015C"
"GO:0016126","GO:0016126","sterol biosynthetic process",41,-0.617496358791674,-2.23109047614643,4.14005559246997e-06,9.62751109594381e-05,7.35305567428159e-05,876,"tags=51%, list=16%, signal=43%","YHR190W/YMR220W/YLR228C/YNL280C/YNL264C/YMR208W/YGL012W/YMR202W/YLR450W/YLR100W/YHR072W/YPL028W/YNR043W/YHR007C/YGL001C/YGR175C/YLR056W/YNL111C/YML075C/YGR060W/YMR015C"
"GO:0019693","GO:0019693","ribose phosphate metabolic process",98,-0.461623065879378,-2.01432443634487,4.50658769002266e-06,0.00010292724384891,7.86111536906208e-05,891,"tags=36%, list=16%, signal=31%","YDR399W/YMR120C/YMR205C/YAR015W/YER099C/YNL333W/YBR127C/YHL011C/YMR271C/YMR323W/YJR009C/YJR105W/YDR050C/YER005W/YDL021W/YGR240C/YOL061W/YOR347C/YLR446W/YBR196C/YKL181W/YNR012W/YGR254W/YOR344C/YOL056W/YKL152C/YPL075W/YKL060C/YOL136C/YAL038W/YGL253W/YHR174W/YJL116C/YCR012W/YJL052W"
"GO:1902653","GO:1902653","secondary alcohol biosynthetic process",36,-0.63911418844784,-2.27848046643689,5.47928307675074e-06,0.000120827638882141,9.22826623452755e-05,876,"tags=56%, list=16%, signal=47%","YHR190W/YMR220W/YLR228C/YAL061W/YNL280C/YMR208W/YGL012W/YMR202W/YLR450W/YLR100W/YHR072W/YPL028W/YNR043W/YHR007C/YGL001C/YGR175C/YLR056W/YML075C/YGR060W/YMR015C"
"GO:0007006","GO:0007006","mitochondrial membrane organization",56,0.582240885725687,2.12851035493447,5.46356090281103e-06,0.000120827638882141,9.22826623452755e-05,1472,"tags=59%, list=26%, signal=44%","YHR005C-A/YOR045W/YEL020W-A/YCL057C-A/YLR099W-A/YNL070W/YOL027C/YKR016W/YBR091C/YFR011C/YJR135W-A/YDR322C-A/YER154W/YPL063W/YNL121C/YBR262C/YLR295C/YPR133W-A/YPR020W/YPL098C/YGR181W/YLR168C/YEL012W/YPR140W/YJL127C-B/YOL026C/YDR393W/YJR080C/YGR235C/YBR185C/YOR211C/YMR060C/YIR004W"
"GO:0030001","GO:0030001","metal ion transport",100,-0.449689790576014,-1.9654669465532,5.67350211731402e-06,0.000122989986577028,9.39341652964747e-05,1244,"tags=44%, list=22%, signal=35%","YPL224C/YGR281W/YLR034C/YLR047C/YJL129C/YDR135C/YHR050W/YLR130C/YDR205W/YKR052C/YLR411W/YGL160W/YLL015W/YKL175W/YGL255W/YLR220W/YOR079C/YIL121W/YDL183C/YNL291C/YHL040C/YGR217W/YLL051C/YMR058W/YMR034C/YDR270W/YHR175W/YGR191W/YPR124W/YBR235W/YAL048C/YLR443W/YBR295W/YOL130W/YOL152W/YDR506C/YFL050C/YLR214W/YML123C/YEL065W/YMR319C/YOR381W/YOR383C/YOR384W"
"GO:0015711","GO:0015711","organic anion transport",114,-0.437267834045302,-1.96379478175046,7.22390292262852e-06,0.000153989530634031,0.000117610208985952,978,"tags=39%, list=18%, signal=33%","YPL084W/YBR041W/YPL221W/YPR021C/YLL015W/YIL121W/YPR058W/YKL187C/YIL006W/YOL147C/YAL053W/YJL079C/YJL078C/YPR011C/YPR128C/YCR075C/YIL088C/YHR002W/YMR034C/YGR191W/YBR220C/YBR043C/YKR105C/YKL120W/YGL077C/YGR257C/YGL139W/YEL064C/YOR306C/YCR098C/YGR260W/YEL063C/YEL062W/YPL265W/YIL166C/YCR028C/YKR039W/YNL065W/YOR348C/YPL002C/YNL101W/YJL193W/YMR246W/YDL210W/YJR152W"
"GO:0044283","GO:0044283","small molecule biosynthetic process",341,-0.314513353228586,-1.62293670417922,9.72362640298737e-06,0.000203877347039686,0.00015571225715224,856,"tags=24%, list=15%, signal=22%","YMR220W/YNL256W/YJL153C/YBR145W/YBR239C/YDL080C/YLR228C/YGL256W/YNL333W/YMR096W/YOR171C/YAL061W/YPR118W/YLR410W/YHR208W/YER061C/YDR315C/YEL029C/YEL046C/YMR271C/YLL058W/YDL015C/YJR009C/YNL280C/YOL055C/YJR105W/YMR207C/YDR050C/YHR037W/YJR148W/YKL055C/YPL273W/YNR016C/YMR208W/YIL020C/YGL012W/YMR272C/YMR202W/YLR450W/YGL009C/YLR044C/YJR024C/YBR196C/YIR033W/YLR100W/YOL086C/YHR046C/YHR072W/YPR121W/YPL231W/YPL028W/YKL152C/YOR391C/YNR043W/YKL060C/YMR303C/YKL182W/YLR134W/YJL196C/YHR007C/YGL001C/YGR175C/YLR056W/YIL053W/YMR170C/YGR144W/YPR035W/YML075C/YHR067W/YGR060W/YLR231C/YCL018W/YMR015C/YOL126C/YFR055W/YOR047C/YPL095C/YCR012W/YPL280W/YGL055W/YGR087C/YJL052W/YEL071W"
"GO:1902652","GO:1902652","secondary alcohol metabolic process",48,-0.566502028098252,-2.1530301986994,1.41271159307658e-05,0.000291428730249186,0.000222580026888807,1113,"tags=54%, list=20%, signal=44%","YML126C/YER125W/YNL009W/YNR019W/YMR226C/YHR190W/YMR220W/YLR228C/YAL061W/YNL280C/YMR208W/YGL012W/YMR202W/YLR450W/YCR048W/YLR100W/YHR072W/YPL028W/YNR043W/YHR007C/YGL001C/YGR175C/YLR056W/YML075C/YGR060W/YMR015C"
"GO:0006696","GO:0006696","ergosterol biosynthetic process",34,-0.641613429512534,-2.2565353663387,1.51583511075261e-05,0.000302930172914467,0.00023136430637803,876,"tags=56%, list=16%, signal=47%","YHR190W/YMR220W/YLR228C/YNL280C/YMR208W/YGL012W/YMR202W/YLR450W/YLR100W/YHR072W/YPL028W/YNR043W/YHR007C/YGL001C/YGR175C/YLR056W/YML075C/YGR060W/YMR015C"
"GO:0016129","GO:0016129","phytosteroid biosynthetic process",34,-0.641613429512534,-2.2565353663387,1.51583511075261e-05,0.000302930172914467,0.00023136430637803,876,"tags=56%, list=16%, signal=47%","YHR190W/YMR220W/YLR228C/YNL280C/YMR208W/YGL012W/YMR202W/YLR450W/YLR100W/YHR072W/YPL028W/YNR043W/YHR007C/YGL001C/YGR175C/YLR056W/YML075C/YGR060W/YMR015C"
"GO:0046395","GO:0046395","carboxylic acid catabolic process",82,-0.474554838441634,-1.99693524685964,1.55164358577596e-05,0.000305315714801146,0.000233186274914994,817,"tags=45%, list=15%, signal=39%","YDR538W/YFR047C/YDL215C/YBR222C/YLR284C/YNL009W/YDL080C/YBR006W/YML076C/YDR539W/YNL202W/YEL020C/YOR388C/YHR208W/YPR128C/YEL046C/YGL196W/YIR023W/YHR037W/YER010C/YJR148W/YKR009C/YKL106W/YJR078W/YJR019C/YOR363C/YNL239W/YLR044C/YLR142W/YER043C/YGL205W/YLR134W/YCL064C/YLR231C/YFR055W/YPL095C/YGR087C"
"GO:0042026","GO:0042026","protein refolding",30,0.671908469569257,2.1356684993636,1.79721441035164e-05,0.000338034886888198,0.000258175692384879,836,"tags=47%, list=15%, signal=40%","YER103W/YPL240C/YLL026W/YPL106C/YDR258C/YLR216C/YOR020C/YJL034W/YFL016C/YBR169C/YJR045C/YAL005C/YLR259C/YOR232W"
"GO:0006613","GO:0006613","cotranslational protein targeting to membrane",23,0.719538439338718,2.13441343826684,1.7777877760367e-05,0.000338034886888198,0.000258175692384879,740,"tags=52%, list=13%, signal=45%","YER103W/YNCE0024W/YKL122C/YJL034W/YHR193C/YDR252W/YDR086C/YER019C-A/YLR378C/YDL092W/YPL037C/YAL005C"
"GO:0000041","GO:0000041","transition metal ion transport",64,-0.509866077916036,-2.05802536503338,1.74905083116592e-05,0.000338034886888198,0.000258175692384879,1244,"tags=55%, list=22%, signal=43%","YPL224C/YGR281W/YLR034C/YLR047C/YDR135C/YHR050W/YLR130C/YDR205W/YKR052C/YLR411W/YGL160W/YLL015W/YKL175W/YGL255W/YLR220W/YOR079C/YIL121W/YHL040C/YLL051C/YMR058W/YDR270W/YHR175W/YGR191W/YPR124W/YAL048C/YBR295W/YOL152W/YDR506C/YLR214W/YML123C/YEL065W/YMR319C/YOR381W/YOR383C/YOR384W"
"GO:0009199","GO:0009199","ribonucleoside triphosphate metabolic process",59,-0.515886181034726,-2.03471010792406,1.91002853453833e-05,0.0003540473182137,0.000270405260114656,654,"tags=41%, list=12%, signal=36%","YBR127C/YMR323W/YJR009C/YDR050C/YER005W/YDL021W/YGR240C/YOR347C/YLR446W/YBR196C/YNR012W/YGR254W/YOR344C/YOL056W/YKL152C/YPL075W/YKL060C/YOL136C/YAL038W/YGL253W/YHR174W/YJL116C/YCR012W/YJL052W"
"GO:0016054","GO:0016054","organic acid catabolic process",83,-0.4686992337139,-1.9731541100403,2.67609484610702e-05,0.000488960758310125,0.000373446017622152,817,"tags=37%, list=15%, signal=32%","YDL080C/YBR006W/YML076C/YDR539W/YNL202W/YEL020C/YOR388C/YHR208W/YPR128C/YEL046C/YGL196W/YIR023W/YHR037W/YER010C/YJR148W/YKR009C/YKL106W/YJR078W/YJR019C/YOR363C/YNL239W/YLR044C/YLR142W/YER043C/YGL205W/YLR134W/YCL064C/YLR231C/YFR055W/YPL095C/YGR087C"
"GO:0006626","GO:0006626","protein targeting to mitochondrion",65,0.52846719230267,1.97241122029301,3.19149465223547e-05,0.000574918543691432,0.000439096669721944,1472,"tags=51%, list=26%, signal=38%","YPL240C/YKL195W/YOR020C/YHR005C-A/YOR045W/YEL020W-A/YLR099W-A/YNL070W/YKR016W/YBR091C/YOR027W/YJR135W-A/YER154W/YPL063W/YNR017W/YNL121C/YPR133W-A/YPL098C/YJR045C/YAL005C/YLR259C/YGR181W/YOR232W/YBR230C/YLR008C/YOL026C/YJL104W/YBL045C/YIL022W/YER017C/YMR060C/YKR065C/YIR004W"
"GO:0007007","GO:0007007","inner mitochondrial membrane organization",37,0.632716564382189,2.11828245568366,3.24661255492748e-05,0.000576724646910035,0.000440476089323495,1271,"tags=59%, list=23%, signal=46%","YHR005C-A/YEL020W-A/YCL057C-A/YOL027C/YKR016W/YBR091C/YFR011C/YJR135W-A/YDR322C-A/YER154W/YNL121C/YBR262C/YLR295C/YPR020W/YPL098C/YGR181W/YLR168C/YPR140W/YDR393W/YJR080C/YGR235C/YBR185C"
"GO:0006163","GO:0006163","purine nucleotide metabolic process",136,-0.40404029404891,-1.84036751946675,3.33526937595038e-05,0.000584357470115141,0.000446305692989466,891,"tags=35%, list=16%, signal=30%","YDR399W/YMR120C/YMR205C/YAR015W/YMR315W/YBR145W/YER099C/YEL041W/YNL333W/YHR074W/YDR400W/YBR127C/YGR256W/YHL011C/YMR323W/YJR009C/YGR010W/YCL047C/YJR105W/YDR050C/YDL021W/YGR240C/YJR078W/YDL085W/YOL061W/YOR347C/YLR446W/YBR196C/YOL086C/YKL181W/YGR254W/YHR202W/YOR344C/YOL056W/YKL152C/YPL075W/YKL060C/YNL129W/YMR303C/YOL136C/YHR183W/YAL038W/YLR231C/YGL253W/YHR174W/YJL116C/YCR012W/YJL052W"
"GO:0009141","GO:0009141","nucleoside triphosphate metabolic process",66,-0.499667866369351,-2.04092643875168,3.76351614698876e-05,0.000650477993513328,0.000496805545434647,654,"tags=38%, list=12%, signal=34%","YBR127C/YMR323W/YJR009C/YDR050C/YER005W/YDL021W/YGR240C/YOR347C/YLR446W/YBR196C/YNR012W/YGR254W/YOR344C/YOL056W/YCR026C/YKL152C/YPL075W/YKL060C/YOL136C/YAL038W/YGL253W/YHR174W/YJL116C/YCR012W/YJL052W"
"GO:0015849","GO:0015849","organic acid transport",77,-0.470153741700208,-1.97260678005677,4.02067899470501e-05,0.000679140712070193,0.000518696827950404,786,"tags=39%, list=14%, signal=34%","YIL121W/YPR058W/YKL187C/YIL006W/YOL147C/YJL079C/YJL078C/YCR075C/YIL088C/YMR034C/YGR191W/YBR043C/YKR105C/YKL120W/YGL077C/YEL064C/YGR260W/YEL063C/YEL062W/YPL265W/YIL166C/YCR028C/YKR039W/YNL065W/YOR348C/YNL101W/YJL193W/YMR246W/YDL210W/YJR152W"
"GO:0055082","GO:0055082","intracellular chemical homeostasis",204,-0.344922653895576,-1.66968807184979,4.03555075194172e-05,0.000679140712070193,0.000518696827950404,872,"tags=27%, list=16%, signal=24%","YJL110C/YKL168C/YNL201C/YMR205C/YKL175W/YOR371C/YLR220W/YOR079C/YLR126C/YGR038W/YER113C/YCL017C/YDL206W/YGR121C/YEL027W/YBR127C/YDR107C/YHL040C/YCR044C/YLL051C/YMR058W/YDR436W/YIL090W/YDR270W/YPL036W/YHR175W/YGR240C/YPL203W/YBR043C/YKR021W/YDL138W/YBR295W/YLR446W/YGR257C/YIR033W/YOL130W/YAL056W/YJR106W/YLR447C/YOL152W/YDR506C/YFL050C/YLR214W/YGL008C/YMR021C/YDR089W/YDR492W/YEL065W/YLR023C/YKR034W/YOL002C/YNL142W/YGL253W/YOR381W/YOR384W"
"GO:0009063","GO:0009063","amino acid catabolic process",53,-0.531851457213696,-2.06619134245962,4.14529590751316e-05,0.000688549800741472,0.00052588306249791,825,"tags=45%, list=15%, signal=39%","YBR145W/YDL080C/YBR006W/YGL256W/YHR208W/YEL046C/YGL196W/YIR023W/YHR037W/YJR148W/YKL106W/YJR078W/YNL239W/YLR044C/YOL086C/YLR142W/YER043C/YLR098C/YMR303C/YLR134W/YCL064C/YLR231C/YFR055W/YGR087C"
