"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0009150","GO:0009150","purine ribonucleotide metabolic process",76,-0.463085566769013,-1.93992051889005,0.000101250014380207,0.00147157691354868,0.00112392360460325,891,"tags=37%, list=16%, signal=31%","YDR399W/YMR120C/YMR205C/YAR015W/YNL333W/YBR127C/YMR323W/YJR009C/YJR105W/YDR050C/YDL021W/YGR240C/YOR347C/YLR446W/YBR196C/YGR254W/YOR344C/YOL056W/YKL152C/YPL075W/YKL060C/YOL136C/YAL038W/YGL253W/YHR174W/YJL116C/YCR012W/YJL052W"
"GO:0019400","GO:0019400","alditol metabolic process",18,0.728278568305003,2.0151860605607,0.000107396922987552,0.00154337825282112,0.00117876220617917,73,"tags=33%, list=1%, signal=33%","YEL070W/YNR073C/YPL201C/YJR159W/YIL155C/YHL032C"
"GO:0046034","GO:0046034","ATP metabolic process",49,-0.53022006604072,-2.01866593463275,0.000108628124721508,0.00154372635020899,0.00117902806715274,654,"tags=45%, list=12%, signal=40%","YBR127C/YMR323W/YJR009C/YDR050C/YDL021W/YGR240C/YOR347C/YLR446W/YBR196C/YGR254W/YOR344C/YOL056W/YKL152C/YPL075W/YKL060C/YOL136C/YAL038W/YGL253W/YHR174W/YJL116C/YCR012W/YJL052W"
"GO:0006458","GO:0006458","'de novo' protein folding",33,0.618097857293963,2.00644493286233,0.000113300657875481,0.00159243452112901,0.00121622915567896,783,"tags=36%, list=14%, signal=31%","YER103W/YPL240C/YLL026W/YNL007C/YOR020C/YJL034W/YFL016C/YGR211W/YGR285C/YJR045C/YAL005C/YLR259C"
"GO:0015980","GO:0015980","energy derivation by oxidation of organic compounds",158,0.403888681416025,1.7160132482686,0.000122097102883495,0.00169741515856511,0.00129640859812224,1050,"tags=35%, list=19%, signal=30%","YNR074C/YER067W/YFR015C/YIL057C/YMR145C/YJR120W/YOR065W/YMR030W/YPL271W/YEL039C/YDR529C/YFR033C/YJL045W/YMR002W/YMR105C/YKL085W/YPR191W/YER054C/YER065C/YMR311C/YPL262W/YJL166W/YMR256C/YKL148C/YLR154W-C/YEL011W/YKR058W/YFR003C/YLR174W/YJL137C/YMR081C/YNL037C/YOR355W/YLR258W/YFR017C/YJR121W/YDR031W/YFL018C/YFR049W/YGL226W/YPR184W/YNL117W/YOR178C/YBR010W/YNR001C/YBL030C/YDL067C/YDR148C/YPR001W/YLR395C/YOR136W/YGL191W/YKL109W/YPR140W/YHR001W-A/YJR048W"
"GO:0017004","GO:0017004","cytochrome complex assembly",41,0.576900729337161,1.99574898893938,0.000124747422790699,0.00171561240590649,0.00131030682908623,1542,"tags=61%, list=28%, signal=44%","YLL009C/YDR529C/YLR218C/YDR079W/YPL189C-A/YML129C/YDR231C/YJR034W/YKL137W/YBR120C/YJL062W-A/YBR024W/YER058W/YDR493W/YMR244C-A/YML030W/YFL046W/YDR381C-A/YNR018W/YLR203C/YKL087C/YLR038C/YBR037C/YNL005C/YGR183C"
"GO:0043603","GO:0043603","amide metabolic process",109,-0.409852010129891,-1.8234156734602,0.0001288201313304,0.00175277604225086,0.00133869072647941,1362,"tags=42%, list=24%, signal=33%","YMR289W/YDR319C/YMR297W/YIR032C/YOR311C/YLR146C/YNL314W/YBR221C/YPR069C/YDR135C/YKL184W/YHL003C/YML126C/YNR033W/YMR251W/YBR281C/YIL145C/YHR063C/YGR244C/YMR220W/YNL256W/YGR038W/YPL103C/YMR207C/YIR023W/YLR351C/YNR016C/YMR208W/YJR019C/YIL009W/YKL008C/YDR242W/YGR154C/YLR450W/YLL060C/YKL215C/YLR153C/YLR299W/YIR028W/YNR043W/YIR027C/YIR031C/YMR170C/YML075C/YBR208C/YMR246W"
"GO:0019725","GO:0019725","cellular homeostasis",239,-0.325129335433974,-1.60261744462174,0.00013155371586724,0.00177112844836,0.00135270746066259,872,"tags=25%, list=16%, signal=22%","YJL110C/YKL168C/YNL201C/YMR205C/YKL175W/YOR371C/YLR220W/YIL114C/YOR079C/YLR126C/YGR038W/YER113C/YCL017C/YDL206W/YGR121C/YEL027W/YBR127C/YDR107C/YHL040C/YCR044C/YLL051C/YMR058W/YDR436W/YIL090W/YDR270W/YPL036W/YHR175W/YGR240C/YHR106W/YPL203W/YBR043C/YKR021W/YBR235W/YDL138W/YBR295W/YLR446W/YGR257C/YIR033W/YOL130W/YAL056W/YJR106W/YLR447C/YOL152W/YDR506C/YFL050C/YLR214W/YGL008C/YER132C/YMR021C/YDR089W/YDR492W/YEL065W/YLR023C/YKR034W/YOL002C/YPR194C/YNL142W/YGL253W/YOR381W/YOR384W"
"GO:0045333","GO:0045333","cellular respiration",100,0.453161525670389,1.8056833504146,0.000140494537872505,0.00187179702019723,0.00142959354326409,1542,"tags=56%, list=28%, signal=41%","YNR074C/YJR120W/YOR065W/YMR030W/YPL271W/YEL039C/YDR529C/YFR033C/YJL045W/YMR002W/YKL085W/YPR191W/YER065C/YPL262W/YJL166W/YMR256C/YKL148C/YLR154W-C/YLR174W/YMR081C/YNL037C/YOR355W/YJR121W/YDR031W/YFL018C/YFR049W/YGL226W/YNL117W/YBR010W/YNR001C/YBL030C/YDL067C/YDR148C/YPR001W/YLR395C/YOR136W/YGL191W/YKL109W/YPR140W/YHR001W-A/YJR048W/YDR487C/YOL008W/YBL045C/YPL132W/YJL200C/YBL021C/YMR165C/YGL237C/YLR038C/YML110C/YMR056C/YLL013C/YML120C/YIL070C/YGR183C"
"GO:0042886","GO:0042886","amide transport",34,-0.593984404309611,-2.08902549997526,0.000163510194978639,0.00213397489160897,0.00162983309280533,814,"tags=41%, list=15%, signal=35%","YOR071C/YNL087W/YLR188W/YHR002W/YBR220C/YLR237W/YEL062W/YKR093W/YIR028W/YCR028C/YHL016C/YPR194C/YJR152W/YJL212C"
"GO:0006826","GO:0006826","iron ion transport",38,-0.567020994237001,-2.03318980107973,0.000162754534461308,0.00213397489160897,0.00162983309280533,1244,"tags=50%, list=22%, signal=39%","YPL224C/YLR034C/YLR047C/YHR050W/YKR052C/YGL160W/YLR220W/YHL040C/YLL051C/YMR058W/YAL048C/YOL152W/YDR506C/YLR214W/YEL065W/YMR319C/YOR381W/YOR383C/YOR384W"
"GO:0022904","GO:0022904","respiratory electron transport chain",32,0.623289590585735,2.00719585596661,0.0001827756731672,0.00236131399980655,0.00180346437744988,1050,"tags=53%, list=19%, signal=43%","YNR074C/YOR065W/YEL039C/YDR529C/YFR033C/YJL045W/YPR191W/YJL166W/YMR256C/YKL148C/YGL226W/YDL067C/YLR395C/YGL191W/YPR140W/YHR001W-A/YJR048W"
"GO:0048878","GO:0048878","chemical homeostasis",236,-0.319972702645877,-1.57420588610341,0.000195290298791517,0.00249776292154351,0.00190767786608977,932,"tags=27%, list=17%, signal=24%","YGL160W/YPR138C/YPL031C/YJL110C/YKL168C/YNL201C/YMR205C/YPL109C/YKL175W/YOR371C/YLR220W/YOR079C/YLR126C/YNL087W/YGR038W/YER113C/YCL017C/YAL053W/YDL206W/YLR087C/YGR121C/YEL027W/YBR127C/YDR107C/YHL040C/YCR044C/YLL051C/YMR058W/YDR436W/YIL090W/YDR270W/YPL036W/YHR175W/YGR240C/YPL203W/YBR043C/YKR021W/YBR235W/YAL048C/YDL138W/YBR295W/YLR446W/YGR257C/YIR033W/YOL130W/YAL056W/YJR106W/YLR447C/YOL152W/YDR506C/YFL050C/YLR214W/YGL008C/YMR021C/YDR089W/YDR492W/YEL065W/YLR023C/YKR034W/YOL002C/YNL142W/YGL253W/YOR381W/YOR384W"
"GO:0006352","GO:0006352","DNA-templated transcription initiation",88,0.465652503164051,1.82274811566123,0.000214878930422352,0.00266825390301154,0.00203789113369384,1552,"tags=50%, list=28%, signal=37%","YKL054C/YMR039C/YER159C/YDR174W/YPR052C/YDL005C/YKL160W/YPR025C/YLR141W/YBR089C-A/YOR194C/YGL048C/YNR010W/YNL039W/YJL140W/YMR227C/YMR112C/YDR394W/YDR167W/YGL025C/YBR049C/YOR340C/YDR145W/YBR245C/YKL144C/YGL173C/YBR198C/YGR116W/YJR017C/YGL207W/YPR168W/YGR186W/YOR259C/YNL151C/YMR233W/YBR123C/YPL129W/YMR005W/YDR397C/YMR236W/YOR117W/YML043C/YDR079C-A/YML015C"
"GO:0098771","GO:0098771","inorganic ion homeostasis",109,-0.403556692643779,-1.7954080504893,0.000212141951986897,0.00266825390301154,0.00203789113369384,844,"tags=32%, list=15%, signal=28%","YKL175W/YLR220W/YOR079C/YER113C/YCL017C/YAL053W/YDL206W/YEL027W/YBR127C/YDR107C/YHL040C/YCR044C/YLL051C/YMR058W/YDR436W/YIL090W/YDR270W/YHR175W/YBR235W/YGR257C/YIR033W/YOL130W/YJR106W/YOL152W/YDR506C/YFL050C/YLR214W/YMR021C/YDR089W/YDR492W/YEL065W/YLR023C/YOL002C/YOR381W/YOR384W"
"GO:0008654","GO:0008654","phospholipid biosynthetic process",123,-0.38085489162441,-1.72060068405417,0.000214682574166381,0.00266825390301154,0.00203789113369384,1235,"tags=41%, list=22%, signal=33%","YOR311C/YDR434W/YCL004W/YGR007W/YJL062W/YNL054W/YPL175W/YDR017C/YBL039C/YML126C/YLR305C/YIL039W/YPL076W/YDR287W/YIL002C/YLR386W/YDR147W/YLR088W/YGR046W/YPL031C/YOR149C/YBR042C/YLR459W/YMR220W/YFL025C/YJL153C/YOR109W/YLR240W/YLL031C/YNL169C/YLR133W/YLR347C/YCR044C/YMR013C/YCL052C/YNL264C/YAL009W/YGL142C/YHR123W/YMR208W/YBR029C/YGR149W/YNL130C/YKR031C/YCR017C/YHR046C/YER043C/YKR070W/YDR123C/YNR043W/YGR157W"
"GO:0008535","GO:0008535","respiratory chain complex IV assembly",28,0.633399985560751,1.96564695666493,0.000289442828031465,0.00349242808539853,0.00266735793856206,1181,"tags=61%, list=21%, signal=48%","YLL009C/YLR218C/YDR079W/YPL189C-A/YML129C/YDR231C/YJR034W/YKL137W/YJL062W-A/YBR024W/YER058W/YMR244C-A/YML030W/YFL046W/YDR381C-A/YNR018W/YLR203C"
"GO:0033617","GO:0033617","mitochondrial cytochrome c oxidase assembly",28,0.633399985560751,1.96564695666493,0.000289442828031465,0.00349242808539853,0.00266735793856206,1181,"tags=61%, list=21%, signal=48%","YLL009C/YLR218C/YDR079W/YPL189C-A/YML129C/YDR231C/YJR034W/YKL137W/YJL062W-A/YBR024W/YER058W/YMR244C-A/YML030W/YFL046W/YDR381C-A/YNR018W/YLR203C"
"GO:0006631","GO:0006631","fatty acid metabolic process",72,-0.463787238193192,-1.9231446057992,0.000287741345878909,0.00349242808539853,0.00266735793856206,718,"tags=33%, list=13%, signal=29%","YNL202W/YEL020C/YER061C/YPR128C/YDL015C/YMR207C/YKL055C/YKR009C/YNR016C/YJR019C/YIL009W/YMR272C/YOR363C/YIR033W/YOR100C/YPL231W/YGL205W/YKL182W/YJL196C/YHR067W/YOL002C/YMR246W/YPL095C/YGL055W"
"GO:0015695","GO:0015695","organic cation transport",39,-0.559890995026694,-2.01461044339653,0.000303552969696306,0.00356187383707867,0.00272039744933049,814,"tags=41%, list=15%, signal=35%","YOR071C/YBR132C/YPR058W/YIL088C/YGR191W/YKR105C/YLR237W/YGL077C/YOR100C/YEL063C/YHL016C/YNL101W/YPL274W/YMR246W/YDL210W/YOR273C"
"GO:0006614","GO:0006614","SRP-dependent cotranslational protein targeting to membrane",20,0.688578388657277,1.96068628933085,0.000299166618883406,0.00356187383707867,0.00272039744933049,740,"tags=45%, list=13%, signal=39%","YER103W/YNCE0024W/YKL122C/YJL034W/YDR086C/YER019C-A/YLR378C/YDL092W/YAL005C"
"GO:0006367","GO:0006367","transcription initiation at RNA polymerase II promoter",70,0.488238933755657,1.85686257701496,0.000303423084356919,0.00356187383707867,0.00272039744933049,1701,"tags=54%, list=31%, signal=38%","YKL054C/YMR039C/YER159C/YDR174W/YPR052C/YDL005C/YKL160W/YPR025C/YOR194C/YGL048C/YNR010W/YJL140W/YMR227C/YMR112C/YDR394W/YDR167W/YGL025C/YBR049C/YDR145W/YBR245C/YGL173C/YBR198C/YGR116W/YJR017C/YGL207W/YPR168W/YGR186W/YOR259C/YPL129W/YMR005W/YDR397C/YMR236W/YOR117W/YDR079C-A/YML015C/YHR041C/YOL145C/YER148W"
"GO:0006633","GO:0006633","fatty acid biosynthetic process",31,-0.580228243510492,-2.00486982272211,0.000313699885689267,0.00364042837964659,0.0027803938408395,655,"tags=42%, list=12%, signal=37%","YER061C/YDL015C/YMR207C/YKL055C/YNR016C/YMR272C/YIR033W/YPL231W/YKL182W/YJL196C/YHR067W/YPL095C/YGL055W"
"GO:0000096","GO:0000096","sulfur amino acid metabolic process",46,0.54789310368535,1.9304180203402,0.000315940226849704,0.00364042837964659,0.0027803938408395,604,"tags=35%, list=11%, signal=31%","YDR253C/YPR167C/YKL001C/YLR303W/YKR069W/YJR010W/YAL012W/YNL277W/YIR017C/YLL062C/YNL103W/YMR009W/YJR137C/YER052C/YGL184C/YGR204W"
"GO:0042592","GO:0042592","homeostatic process",270,-0.30022352960903,-1.5031682314629,0.000349212961475134,0.00398788730113122,0.00304576718279064,932,"tags=25%, list=17%, signal=22%","YGL160W/YPR138C/YPL031C/YJL110C/YKL168C/YNL201C/YMR205C/YPL109C/YKL175W/YOR371C/YLR220W/YIL114C/YOR079C/YLR126C/YNL087W/YGR038W/YER113C/YCL017C/YAL053W/YDL206W/YLR087C/YGR121C/YEL027W/YBR127C/YDR107C/YHL040C/YCR044C/YLL051C/YMR058W/YDR436W/YIL090W/YDR270W/YPL036W/YHR175W/YGR240C/YHR106W/YPL203W/YBR043C/YKR021W/YBR235W/YAL048C/YDL138W/YBR295W/YLR446W/YGR257C/YIR033W/YOL130W/YAL056W/YJR106W/YLR447C/YOL152W/YDR506C/YFL050C/YLR214W/YGL008C/YER132C/YMR021C/YDR089W/YDR492W/YEL065W/YLR023C/YKR034W/YOL002C/YPR194C/YNL142W/YGL253W/YOR381W/YOR384W"
"GO:0072330","GO:0072330","monocarboxylic acid biosynthetic process",57,-0.485069234612795,-1.90671623259533,0.000399271499455768,0.00451918803366307,0.00345155054955708,1229,"tags=46%, list=22%, signal=36%","YLR146C/YBR026C/YOR221C/YPR069C/YKL184W/YNR033W/YER125W/YIL145C/YHR063C/YER061C/YDL015C/YMR207C/YKL055C/YNR016C/YMR272C/YIR033W/YPL231W/YOR391C/YKL182W/YJL196C/YMR170C/YHR067W/YPL095C/YPL280W/YGL055W/YEL071W"
"GO:0015802","GO:0015802","basic amino acid transport",17,-0.696458243879435,-2.06619839354911,0.000405094646989118,0.00454487766227265,0.00347117112101479,898,"tags=59%, list=16%, signal=49%","YCL069W/YOL092W/YIL088C/YGR191W/YKR105C/YDR352W/YDR119W/YEL063C/YGR125W/YMR088C"
"GO:0043248","GO:0043248","proteasome assembly",33,0.594325406810494,1.92927573990784,0.000411537210397233,0.00457700949650488,0.00349571195650922,986,"tags=45%, list=18%, signal=38%","YPL240C/YDR363W-A/YMR186W/YFR004W/YPR103W/YIL075C/YHR200W/YDL007W/YBR173C/YGL048C/YDR427W/YDR394W/YGR135W/YKL206C/YDL110C"
"GO:0044282","GO:0044282","small molecule catabolic process",129,-0.367268904780838,-1.66035904238383,0.000417511466086041,0.00460342383727626,0.00351588603019824,817,"tags=33%, list=15%, signal=29%","YDL080C/YBR006W/YML076C/YDR539W/YOR040W/YNL202W/YGL156W/YEL020C/YDR400W/YOR388C/YHR208W/YPR128C/YEL046C/YGL196W/YOL055C/YDR050C/YIR023W/YHR037W/YER010C/YJR148W/YKR009C/YGR240C/YKL106W/YML070W/YJR078W/YJR019C/YOR363C/YNL239W/YLR044C/YHR046C/YLR142W/YFL053W/YER043C/YOR391C/YGL205W/YLR134W/YBR208C/YCL064C/YLR231C/YFR055W/YPL095C/YPL280W/YGR087C"
"GO:1990822","GO:1990822","basic amino acid transmembrane transport",16,-0.685856286273807,-2.0067350734791,0.000520609076580537,0.00566198497053649,0.00432436694181956,898,"tags=56%, list=16%, signal=47%","YCL069W/YOL092W/YIL088C/YKR105C/YDR352W/YDR119W/YEL063C/YGR125W/YMR088C"
"GO:0042254","GO:0042254","ribosome biogenesis",460,0.307741732923976,1.45693232709627,0.000522372342864195,0.00566198497053649,0.00432436694181956,1639,"tags=37%, list=29%, signal=29%","YLL046C/YHR087W/YDR432W/YLR068W/YNCD0030W/YKL009W/YNL147W/YLR438C-A/YPR143W/YNCO0015C/YBR279W/YER002W/YER131W/YNCM0016W/YKL032C/YNL308C/YPL146C/YNCL0046W/YLR204W/YGL029W/YKL082C/YJR113C/YJL136C/YDR156W/YNR024W/YLR175W/YFR001W/YMR269W/YGR280C/YNCL0042C/YDR447C/YOR310C/YLR192C/YGL078C/YLR009W/YER146W/YLR197W/YKL172W/YDR500C/YER112W/YCR016W/YNCP0015C/YGR285C/YGR103W/YPR169W/YLR293C/YGR271C-A/YNR037C/YOR078W/YNCJ0003C/YDL213C/YDR299W/YMR230W/YNL002C/YLR185W/YDL208W/YLR074C/YJL148W/YHR065C/YHR081W/YNR054C/YLR145W/YIL063C/YIL052C/YLR059C/YOR206W/YKL186C/YDR083W/YMR014W/YOL144W/YNCL0003W/YBR189W/YNL110C/YGL189C/YFL002C/YDL148C/YNCP0014C/YLR167W/YHR034C/YNL113W/YER056C-A/YDL136W/YBR257W/YML093W/YNL227C/YOR201C/YOR185C/YNCK0001W/YOR340C/YGR251W/YOR167C/YHR196W/YNCG0026W/YLR387C/YOR119C/YGL173C/YFL023W/YDL031W/YFR031C-A/YBR154C/YLR051C/YHR088W/YPL239W/YDL014W/YGR081C/YBL026W/YPL043W/YHR066W/YNCP0013C/YDR365C/YLR264W/YNCJ0004C/YDL166C/YNCP0021W/YGR276C/YMR143W/YDR060W/YER082C/YKR094C/YLR221C/YOR293W/YLL011W/YAL035W/YER074W/YLR276C/YKL006W/YGR085C/YDR412W/YLR435W/YCL054W/YIL096C/YHR072W-A/YDL191W/YLR075W/YJL041W/YLR196W/YMR128W/YHR052W/YDR339C/YHR143W-A/YDR159W/YDR361C/YLR340W/YPL183W-A/YNCN0014W/YOL121C/YPR132W/YDL153C/YOR210W/YLL008W/YLR344W/YGR095C/YOR287C/YIL070C/YPR041W/YNCG0024W/YNL302C/YDR064W/YJR022W/YIL137C/YIL115C/YKR057W/YBR267W/YBR142W/YOL041C/YNCC0003C/YGL099W/YML073C/YHR062C/YMR049C/YLL034C"
"GO:0090407","GO:0090407","organophosphate biosynthetic process",272,-0.297359936695939,-1.48886891634885,0.000548260775761141,0.00589265153107983,0.00450053958342626,1235,"tags=33%, list=22%, signal=27%","YOR311C/YGR061C/YLR359W/YJR133W/YMR095C/YDR434W/YCL004W/YBR221C/YGR007W/YJL062W/YNL054W/YPL175W/YDR017C/YBL039C/YML126C/YJR156C/YLR305C/YFR047C/YDR020C/YIL039W/YPL076W/YDR287W/YIL002C/YLR386W/YDR147W/YLR088W/YGR046W/YPL031C/YDR399W/YMR120C/YOR149C/YBR042C/YLR459W/YMR220W/YAR015W/YFL025C/YJL153C/YOR109W/YLR240W/YLL031C/YER099C/YEL041W/YNL333W/YMR096W/YLR410W/YNL169C/YHR074W/YDR400W/YLR133W/YDR315C/YLR347C/YEL029C/YHL011C/YMR271C/YCR044C/YMR013C/YCL052C/YGR010W/YCL047C/YOL055C/YJR105W/YMR207C/YNL264C/YDR050C/YAL009W/YGL142C/YHR123W/YNR016C/YMR208W/YBR029C/YJR078W/YGR149W/YOL061W/YLR014C/YLR446W/YNL130C/YKR031C/YCR017C/YLR153C/YKL181W/YHR046C/YNR012W/YER043C/YKR070W/YDR123C/YNR043W/YNL129W/YGR157W/YNL141W/YLR231C/YJL116C"
"GO:0030003","GO:0030003","intracellular monoatomic cation homeostasis",147,-0.350861959483545,-1.61682209397063,0.000569174065267748,0.00606644691231209,0.00463327660147781,871,"tags=28%, list=16%, signal=24%","YKL168C/YMR205C/YKL175W/YLR220W/YOR079C/YLR126C/YER113C/YCL017C/YDL206W/YEL027W/YBR127C/YDR107C/YHL040C/YCR044C/YLL051C/YMR058W/YDR436W/YIL090W/YDR270W/YPL036W/YHR175W/YGR240C/YKR021W/YBR295W/YGR257C/YIR033W/YOL130W/YJR106W/YLR447C/YOL152W/YDR506C/YFL050C/YLR214W/YGL008C/YMR021C/YDR492W/YEL065W/YLR023C/YOL002C/YOR381W/YOR384W"
"GO:0044088","GO:0044088","regulation of vacuole organization",26,-0.597406598764141,-1.99482219427844,0.000638611662934667,0.00675028361068958,0.00515556001046864,804,"tags=35%, list=14%, signal=30%","YDL188C/YHL023C/YJR138W/YFR021W/YPL236C/YGR254W/YEL062W/YPR194C/YHR174W"
"GO:0046474","GO:0046474","glycerophospholipid biosynthetic process",93,-0.395418843783222,-1.69873931253536,0.000659725000625473,0.00691629734262279,0.00528235375824365,1235,"tags=43%, list=22%, signal=34%","YOR311C/YDR434W/YCL004W/YGR007W/YJL062W/YNL054W/YPL175W/YDR017C/YLR305C/YIL039W/YPL076W/YDR287W/YIL002C/YLR386W/YDR147W/YLR088W/YGR046W/YOR149C/YLR459W/YFL025C/YOR109W/YLR240W/YLL031C/YNL169C/YLR133W/YLR347C/YCR044C/YCL052C/YNL264C/YGL142C/YHR123W/YBR029C/YGR149W/YNL130C/YKR031C/YCR017C/YHR046C/YER043C/YKR070W/YGR157W"
"GO:0043161","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",118,0.410374520051851,1.6788983351476,0.000757062410209057,0.00787221807038523,0.00601244259027818,1308,"tags=42%, list=23%, signal=32%","YPL106C/YNL007C/YDR363W-A/YBR101C/YBR158W/YJL144W/YFR004W/YOR257W/YPR103W/YOR261C/YIL075C/YGR253C/YPL009C/YHR027C/YBR169C/YHR200W/YNL155W/YDL007W/YFR010W/YFR052W/YOL038W/YBL041W/YBR082C/YBR172C/YDR054C/YGL048C/YDR219C/YGL011C/YAL005C/YDR394W/YGR048W/YOR157C/YFR036W/YGL116W/YEL012W/YKR023W/YEL037C/YGR135W/YDL126C/YER012W/YGR066C/YBL058W/YDR255C/YGL058W/YFR050C/YLL024C/YML092C/YOR259C/YER094C"
"GO:0000097","GO:0000097","sulfur amino acid biosynthetic process",36,0.572636263025196,1.89849299779625,0.000767810745040276,0.0079195963137622,0.00604862794055498,604,"tags=39%, list=11%, signal=35%","YPR167C/YKL001C/YLR303W/YKR069W/YAL012W/YNL277W/YIR017C/YLL062C/YNL103W/YMR009W/YJR137C/YER052C/YGL184C/YGR204W"
"GO:1901135","GO:1901135","carbohydrate derivative metabolic process",304,-0.286390870215115,-1.46035630391499,0.000819811243385427,0.00838830864231969,0.00640660912725622,1503,"tags=38%, list=27%, signal=29%","YKR043C/YMR237W/YDR414C/YJL186W/YLR070C/YGR227W/YDL185W/YOR163W/YLR213C/YNL158W/YJL005W/YGR192C/YNL048W/YIL014W/YNL219C/YLR420W/YHR144C/YHR204W/YDL093W/YJL183W/YEL004W/YEL058W/YLR354C/YOR299W/YER096W/YLR020C/YGR061C/YLR359W/YJR133W/YLR057W/YDR434W/YJL062W/YJR075W/YPL175W/YOL059W/YBL039C/YOR336W/YDR020C/YOR393W/YIL039W/YPL076W/YDR221W/YDR072C/YLR088W/YDR371W/YOR320C/YGL027C/YDR483W/YBL082C/YDR399W/YMR120C/YOR149C/YLR459W/YMR205C/YAR015W/YFL025C/YLL031C/YER099C/YNL333W/YKR027W/YDR400W/YNL029C/YBR127C/YGR256W/YJR061W/YHL011C/YMR271C/YMR323W/YCR044C/YML019W/YJR009C/YMR013C/YCL052C/YCL047C/YJR105W/YDR050C/YNR059W/YJL139C/YER005W/YDL021W/YGL142C/YPL273W/YOR002W/YGR240C/YML070W/YOL141W/YOL061W/YOR347C/YGL257C/YLR446W/YBR196C/YCR017C/YKL181W/YNR012W/YGR254W/YFL053W/YER043C/YOR067C/YOR344C/YOL056W/YKL152C/YPL075W/YKL060C/YGR036C/YNL129W/YOL136C/YHR183W/YAL038W/YGL253W/YHR174W/YOR047C/YJL116C/YCR012W/YJL052W"
"GO:0007033","GO:0007033","vacuole organization",111,-0.376097998461551,-1.67946802710919,0.00085696919625816,0.00869891747630307,0.00664383804617855,1297,"tags=37%, list=23%, signal=29%","YNL298W/YLR148W/YOR246C/YPL019C/YPL045W/YDR135C/YNL054W/YNL323W/YHL007C/YPL149W/YFL004W/YDL149W/YLR431C/YHR171W/YDR108W/YKL051W/YLL015W/YBR080C/YPL166W/YLR396C/YNL242W/YDL188C/YLR240W/YIL048W/YHL023C/YEL027W/YOR233W/YBR097W/YJR138W/YFR021W/YMR231W/YGL212W/YPL236C/YGR071C/YOR093C/YLR173W/YGR254W/YEL062W/YAL040C/YPR194C/YHR174W"
"GO:0072525","GO:0072525","pyridine-containing compound biosynthetic process",31,-0.551480493530235,-1.90553736682877,0.000904621646110059,0.00903914910449036,0.00690369150978729,766,"tags=39%, list=14%, signal=34%","YEL041W/YNL333W/YMR096W/YHR074W/YDR400W/YEL029C/YGR010W/YCL047C/YJR078W/YNL129W/YLR231C/YOR047C"
"GO:0009070","GO:0009070","serine family amino acid biosynthetic process",24,0.621471707915065,1.86353011341434,0.000900864132080804,0.00903914910449036,0.00690369150978729,651,"tags=38%, list=12%, signal=33%","YPR167C/YKL001C/YLR303W/YAL012W/YIR017C/YNL103W/YER052C/YIL074C/YFL018C"
"GO:0042773","GO:0042773","ATP synthesis coupled electron transport",29,0.600590022886481,1.88249936156628,0.000948150932583998,0.00925713773110637,0.0070701813213174,1050,"tags=55%, list=19%, signal=45%","YOR065W/YEL039C/YDR529C/YFR033C/YJL045W/YPR191W/YJL166W/YMR256C/YKL148C/YGL226W/YDL067C/YLR395C/YGL191W/YPR140W/YHR001W-A/YJR048W"
"GO:0042775","GO:0042775","mitochondrial ATP synthesis coupled electron transport",29,0.600590022886481,1.88249936156628,0.000948150932583998,0.00925713773110637,0.0070701813213174,1050,"tags=55%, list=19%, signal=45%","YOR065W/YEL039C/YDR529C/YFR033C/YJL045W/YPR191W/YJL166W/YMR256C/YKL148C/YGL226W/YDL067C/YLR395C/YGL191W/YPR140W/YHR001W-A/YJR048W"
"GO:0046486","GO:0046486","glycerolipid metabolic process",140,-0.353714027814403,-1.62520044826,0.000936609446216577,0.00925713773110637,0.0070701813213174,1194,"tags=37%, list=21%, signal=30%","YDR434W/YCL004W/YGR007W/YOR081C/YJL062W/YNL054W/YPL175W/YDR017C/YLR305C/YOL065C/YIL039W/YPL076W/YDR287W/YNL128W/YIL002C/YLR386W/YDR072C/YDR147W/YLR088W/YGR046W/YOR149C/YBR042C/YLR459W/YFL025C/YOR109W/YLR240W/YLL031C/YNL087W/YPL103C/YNL169C/YLR133W/YLR347C/YCR044C/YCL052C/YNL264C/YKL212W/YGL142C/YHR123W/YPL206C/YBR029C/YPL110C/YGR149W/YNL130C/YOR093C/YKR031C/YCR017C/YHR046C/YER043C/YPR147C/YKR070W/YGR157W/YCR068W"
"GO:0051303","GO:0051303","establishment of chromosome localization",37,0.555183308362541,1.85870756037676,0.00112523664272713,0.0109028611064242,0.00832711008333951,1597,"tags=51%, list=29%, signal=37%","YKR083C/YDR320C-A/YCR086W/YGL086W/YKL089W/YOR073W/YPL209C/YIL144W/YDL126C/YPL018W/YDR016C/YDR201W/YBL058W/YBR233W-A/YER106W/YIR010W/YGL061C/YBR211C/YKL052C"
