"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","comparison","SGD","GENENAME","ENTREZID","label"
"YEL066W",96.5409636600047,-0.803523483766056,0.278530877032124,-2.89301624100611,0.00381561566539041,0.00900711647113983,"Mature_vs_Early","S000000792","HPA3","856642","HPA3"
"YJL208C",48.6837785984657,0.826674657855571,0.285657386636486,2.89204865645106,0.0038273866758466,0.00903107631136867,"Mature_vs_Early","S000003744","NUC1","853222","NUC1"
"YDL091C",122.716684641535,0.617350885686805,0.213688398629216,2.88943953114846,0.00385929223737265,0.00910250510347292,"Mature_vs_Early","S000002249","UBX3","851467","UBX3"
"YDR424C",84.0117790289517,0.865403788567748,0.299920582173964,2.8844047871159,0.00392154323638371,0.00923759719657236,"Mature_vs_Early","S000002832","DYN2","852034","DYN2"
"YLR373C",89.5588051210045,-0.613864234119965,0.212661688907498,-2.88448264880658,0.00392057362999582,0.00923759719657236,"Mature_vs_Early","S000004365","VID22","851088","VID22"
"YOR165W",144.581580181836,-0.70704514338264,0.245049826062986,-2.88454499474482,0.00391979739720829,0.00923759719657236,"Mature_vs_Early","S000005691","SEY1","854336","SEY1"
"YJL200C",111.407585843669,0.734110130664662,0.255018379975753,2.87813792960947,0.00400030192382948,0.00941913863806171,"Mature_vs_Early","S000003736","ACO2","853230","ACO2"
"YNL022C",66.7368509706851,-0.779731717878883,0.271239665909637,-2.87772326169198,0.00400556357266223,0.00942754316151301,"Mature_vs_Early","S000004967","RCM1","855709","RCM1"
"YDR226W",378.668255617863,0.539101617399407,0.187418778209226,2.87637513062276,0.00402271322118323,0.00946390851149145,"Mature_vs_Early","S000002634","ADK1","851812","ADK1"
"YKL084W",11.8338408396949,-1.35244154264911,0.462106879150521,-2.87621591905295,0.0040247429549344,0.00946468678849283,"Mature_vs_Early","S000001567","HOT13","853778","HOT13"
"YOR313C",9.50065763446871,1.47107097979372,0.506122162359364,2.87542208966121,0.00403487709503375,0.0094845148930097,"Mature_vs_Early","S000005840","SPS4","854490","SPS4"
"YNCE0002W",7.10293768661124,-1.66135494626616,0.546717825476885,-2.87384729634515,0.00405504971834483,0.00952791310877226,"Mature_vs_Early","S000006458","SNR67","9164880","SNR67"
"YKL041W",74.5536962075703,0.786758416841706,0.274902189717574,2.86171551750417,0.00421354922633516,0.0098961562984457,"Mature_vs_Early","S000001524","VPS24","853825","VPS24"
"YKL077W",169.109406974974,-0.690099258239626,0.241260864300093,-2.86108871706515,0.00422188891543537,0.00991156474837357,"Mature_vs_Early","S000001560","PSG1","853785","PSG1"
"YCR041W",16.2627481601033,1.14240869932905,0.397970725808417,2.85991280284903,0.00423757506206645,0.00994001291400934,"Mature_vs_Early","S000000637",NA,"850408","YCR041W"
"YIR006C",249.090409297476,0.691580249495613,0.241808944680138,2.8599664217345,0.00423685866256004,0.00994001291400934,"Mature_vs_Early","S000001445","PAN1","854822","PAN1"
"YHR132W-A",60.5941725270031,0.770937970640124,0.26961921922183,2.85963697632926,0.00424126210431169,0.00994447440367022,"Mature_vs_Early","S000007496","IGO2","856534","IGO2"
"YGR066C",32.8756199574438,0.892843836519963,0.3122395280285,2.85722625241109,0.00427361090991089,0.0100118950290637,"Mature_vs_Early","S000003298","GID10","852957","GID10"
"YMR189W",173.718198388812,0.607044660215473,0.212459398177299,2.8573316850808,0.00427219147386002,0.0100118950290637,"Mature_vs_Early","S000004801","GCV2","855227","GCV2"
"YCL033C",61.4796320125734,-0.793426812454463,0.277024422718683,-2.85623623421584,0.00428696036495758,0.0100389475381163,"Mature_vs_Early","S000000538","MXR2","850324","MXR2"
"YIL130W",142.801815468332,-0.752162356070567,0.263332521506281,-2.85443139393951,0.00431139426222742,0.0100919232919617,"Mature_vs_Early","S000001392","ASG1","854676","ASG1"
"YBL067C",171.001125451234,-0.51351658340393,0.179839607157597,-2.85412019060213,0.00431562006836116,0.0100975721969089,"Mature_vs_Early","S000000163","UBP13","852212","UBP13"
"YKL100C",208.704387936832,0.604608631829608,0.211892104464544,2.85383137076326,0.0043195452902924,0.0100982739455388,"Mature_vs_Early","S000001583","YPF1","853761","YPF1"
"YLR205C",37.7282810134796,0.866069394380586,0.303267245602483,2.85388043693503,0.00431887822562186,0.0100982739455388,"Mature_vs_Early","S000004195","HMX1","850902","HMX1"
"YDL148C",86.9412786578871,1.10019309648032,0.385435312895502,2.85368290422947,0.00432156429228287,0.0100987561544915,"Mature_vs_Early","S000002307","NOP14","851407","NOP14"
"YFR037C",122.23522116798,0.642712128932214,0.225282422835325,2.85264573312328,0.00433569270489179,0.0101275237144453,"Mature_vs_Early","S000001933","RSC8","850598","RSC8"
"YJR052W",112.258844436869,0.6051494512711,0.21236427249504,2.85010963188497,0.00437041619649424,0.0102000790241598,"Mature_vs_Early","S000003813","RAD7","853512","RAD7"
"YMR297W",922.35284863065,-0.684171185170712,0.240000871892038,-2.85014670515912,0.0043699067906807,0.0102000790241598,"Mature_vs_Early","S000004912","PRC1","855343","PRC1"
"YPL224C",63.6655298031519,-0.733266797858886,0.257533766018891,-2.84985056983028,0.00437397734464108,0.0102041154886916,"Mature_vs_Early","S000006145","MMT2","855877","MMT2"
"YKL095W",47.0640910518864,-0.801771398463301,0.2809691880315,-2.84927403949611,0.0043819119533286,0.0102183472130572,"Mature_vs_Early","S000001578","YJU2","853767","YJU2"
"YDL120W",81.2420196613763,0.66237972918725,0.232528147115803,2.84807466870767,0.00439846034043457,0.0102526454211552,"Mature_vs_Early","S000002278","YFH1","851437","YFH1"
"YOL064C",183.899012762664,0.719873827857036,0.252826130512326,2.84711987000526,0.00441167470349418,0.010279146705632,"Mature_vs_Early","S000005425","MET22","854090","MET22"
"YDR109C",48.5581229727517,-0.851387470139992,0.298797506910728,-2.84543887851639,0.00443502700198121,0.0103292372190791,"Mature_vs_Early","S000002516",NA,"851687","YDR109C"
"YOR207C",122.340431095277,-0.892072944400946,0.313753113372053,-2.84525493035771,0.00443758919393906,0.0103308856662911,"Mature_vs_Early","S000005733","RET1","854382","RET1"
"YDR416W",62.4936854000274,-0.703682776064869,0.247271095592192,-2.84442913822331,0.00444910809017055,0.0103523791700676,"Mature_vs_Early","S000002824","SYF1","852025","SYF1"
"YJL124C",60.1651055017932,0.830003387090874,0.291715226467691,2.84432675115164,0.0044505381641199,0.0103523791700676,"Mature_vs_Early","S000003660","LSM1","853318","LSM1"
"YGL085W",23.3587676112146,-0.985619988412389,0.345170831992522,-2.84343467056944,0.00446301578363618,0.0103770705052743,"Mature_vs_Early","S000003053","LCL3","852795","LCL3"
"YBL092W",640.593549094651,0.525213063718365,0.18474480292441,2.84289065802106,0.00447064049204538,0.0103904623200604,"Mature_vs_Early","S000000188","RPL32","852185","RPL32"
"YPL183W-A",68.7156636285168,0.671595337391362,0.236324211255022,2.84092591698424,0.00449827607434071,0.0104503319475196,"Mature_vs_Early","S000007224","RTC6","855918","RTC6"
"YHR020W",187.529321205841,-0.764273000332459,0.269228827028651,-2.84051357347692,0.00450409561375142,0.0104594900642806,"Mature_vs_Early","S000001062",NA,"856413","YHR020W"
"YPR160W",1593.84907217936,0.505004559436116,0.177881092831417,2.83900250672519,0.00452548014014488,0.0105047707753113,"Mature_vs_Early","S000006364","GPH1","856289","GPH1"
"YNL251C",191.731331787886,0.484663403253181,0.170894094888608,2.83614582212762,0.00456615924130737,0.0105947826461155,"Mature_vs_Early","S000005195","NRD1","855470","NRD1"
"YLR020C",59.061056146153,-0.737854005205071,0.260673797482773,-2.83567513413054,0.00457289351551853,0.0106059907472746,"Mature_vs_Early","S000004010","YEH2","850707","YEH2"
"YJL147C",21.7009215489531,-1.22317435660174,0.428640409703071,-2.83551950799692,0.00457512208328589,0.0106067437061946,"Mature_vs_Early","S000003683","SMT1","853294","SMT1"
"YDR451C",38.192868440043,0.900902398651109,0.317945012588018,2.8317980269252,0.00462870759374335,0.0107265099853345,"Mature_vs_Early","S000002859","YHP1","852062","YHP1"
"YDR371W",36.8062027089617,-0.908527971525441,0.319920732880082,-2.83015904153256,0.0046524870581504,0.0107771332228507,"Mature_vs_Early","S000002779","CTS2","851977","CTS2"
"YIL087C",162.21302524171,0.540060570407225,0.190922752170045,2.82897985058372,0.00466966388628384,0.0108124262304602,"Mature_vs_Early","S000001349","AIM19","854722","AIM19"
"YPR135W",71.3866508429343,-0.685653630260916,0.242028388129829,-2.82874611212859,0.00467307547661988,0.0108158302784584,"Mature_vs_Early","S000006339","CTF4","856254","CTF4"
"YCL058C",113.957795375103,1.04459296787579,0.368945659324388,2.82846758813614,0.00467714369239226,0.0108162588253704,"Mature_vs_Early","S000000563","FYV5","850299","FYV5"
"YKR061W",95.2416154864515,0.759172557773247,0.268291883984176,2.82853733654109,0.00467612462273386,0.0108162588253704,"Mature_vs_Early","S000001769","KTR2","853935","KTR2"
"YGR007W",55.6270145791756,-0.76821321420876,0.271532574950968,-2.82675551888651,0.00470222126583429,0.0108697405277854,"Mature_vs_Early","S000003239","ECT1","852890","ECT1"
"YGR050C",8.54517585444456,-1.53931591720797,0.529556906698197,-2.82615450381767,0.00471105347166279,0.0108856403528135,"Mature_vs_Early","S000003282",NA,"852941","YGR050C"
"YAL011W",57.4922163831909,1.19025573666535,0.420611598792406,2.8254765013009,0.00472103506922493,0.0109041817457098,"Mature_vs_Early","S000000009","SWC3","851222","SWC3"
"YHR110W",73.8218092729294,-0.686046603962827,0.242659566097274,-2.82464844095751,0.00473325179397544,0.010927868107848,"Mature_vs_Early","S000001152","ERP5","856510","ERP5"
"YPL196W",102.448847051444,0.589386876767071,0.2087382465794,2.8238596760931,0.00474491537896133,0.0109502583165673,"Mature_vs_Early","S000006117","OXR1","855905","OXR1"
"YFL062W",582.100914404831,0.565405585818387,0.200359228826985,2.8220737032268,0.00477142102257839,0.011006868122892,"Mature_vs_Early","S000001832","COS4","850482","COS4"
"YLR058C",167.863160135479,0.574280571430933,0.203491196292823,2.8218422856162,0.00477486528271907,0.011010254341899,"Mature_vs_Early","S000004048","SHM2","850747","SHM2"
"YPL077C",14.7274926231903,-1.31934942340112,0.463647046859877,-2.82142721506478,0.00478104854416538,0.0110199509472674,"Mature_vs_Early","S000005998",NA,"856028","YPL077C"
"YPL187W",22.6458338164022,1.17203267161176,0.414710996535231,2.82083271576274,0.00478991735881106,0.0110358269668885,"Mature_vs_Early","S000006108","MF(ALPHA)1","855914","MF(ALPHA)1"
"YJR112W-A",23.4349766377678,1.0049593031813,0.355986469305609,2.81938842525907,0.00481152551653452,0.0110810287939702,"Mature_vs_Early","S000028513",NA,"1466470","YJR112W-A"
"YAL013W",41.9301678890542,0.889731025494024,0.315526010895413,2.81918532132109,0.00481457123639352,0.0110834613049373,"Mature_vs_Early","S000000011","DEP1","851220","DEP1"
"YOR362C",254.113476103407,0.463304426527613,0.164383144681171,2.8183965801306,0.0048264156444269,0.0111061386018597,"Mature_vs_Early","S000005889","PRE10","854544","PRE10"
"YLR114C",92.9112213577748,-0.687744417028414,0.243772963415827,-2.81794723572375,0.0048331751645597,0.0111171010907358,"Mature_vs_Early","S000004104","AVL9","850805","AVL9"
"YFR040W",541.261120026162,0.624088974056403,0.221528717513173,2.81709796440982,0.00484597421212275,0.0111413312714741,"Mature_vs_Early","S000001936","SAP155","850601","SAP155"
"YHR064C",240.278487498342,-0.500599596372014,0.177744494492074,-2.81698300812597,0.00484770902926823,0.0111413312714741,"Mature_vs_Early","S000001106","SSZ1","856461","SSZ1"
"YKL165C",126.86514600451,0.719058249298294,0.255100562781337,2.81644007251293,0.00485591012292689,0.0111555774411652,"Mature_vs_Early","S000001648","MCD4","853690","MCD4"
"YDR160W",65.1950278588323,-0.766763441504216,0.272524452131465,-2.81601267199206,0.00486237487570728,0.0111658245806122,"Mature_vs_Early","S000002567","SSY1","851738","SSY1"
"YOL141W",21.9632888261351,-1.45551007087113,0.51619020717429,-2.81569576114109,0.00486717341567836,0.0111722386068167,"Mature_vs_Early","S000005501","PPM2","854024","PPM2"
