"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","SGD","GENENAME","ENTREZID","label"
"YAL001C",158.609505706313,0.401333879743928,0.191348128323327,2.09961021666359,0.0357631433073667,0.0762190020525401,"NS","S000000001","TFC3","851262","TFC3"
"YAL002W",73.3807708434533,-0.0356434022146881,0.243128703875379,-0.140178539831351,0.888518927209555,0.92516525194597,"NS","S000000002","VPS8","851261","VPS8"
"YAL003W",326.919761735371,1.09971155380912,0.193292715266059,5.68822982604069,1.28362993934761e-08,1.61060864687062e-07,"Up","S000000003","EFB1","851260","EFB1"
"YAL005C",3079.25157661813,-1.03265728583701,0.158769721051135,-6.50392394609754,7.8251469658695e-11,1.50323771540893e-09,"Down","S000000004","SSA1","851259","SSA1"
"YAL007C",67.4330091367423,0.848198594121094,0.23584986520183,3.58378961552892,0.000338644886624682,0.00152884170452683,"NS","S000000005","ERP2","851226","ERP2"
"YAL008W",60.6275466806613,0.112583509365041,0.250199747033694,0.453205567248255,0.650400723976634,0.745398566812143,"NS","S000000006","FUN14","851225","FUN14"
"YAL009W",28.1784532394016,1.12952433588398,0.345799735539276,3.25779734377835,0.00112280559399507,0.00425231132844767,"Up","S000000007","SPO7","851224","SPO7"
"YAL010C",20.0259700982633,0.974004966219675,0.385723537001673,2.50952681211053,0.0120893037534031,0.0313983735245729,"NS","S000000008","MDM10","851223","MDM10"
"YAL011W",57.4922163831909,-1.25432527948076,0.421910146429197,-2.96681207588779,0.0030090481480935,0.00986082778413462,"Down","S000000009","SWC3","851222","SWC3"
"YAL012W",95.4877024159423,-0.194320288703825,0.219584912443976,-0.891382932411051,0.372723770904822,0.495453144287941,"NS","S000000010","CYS3","851221","CYS3"
"YAL013W",41.9301678890542,-0.493957621475554,0.309227485495025,-1.60010577614671,0.109575119827761,0.190525278576922,"NS","S000000011","DEP1","851220","DEP1"
"YAL014C",22.8835024202818,0.40448890384246,0.375692342833883,1.07545400637656,0.282171513572928,0.401219372668398,"NS","S000000012","SYN8","851219","SYN8"
"YAL015C",24.9231560207744,0.0253957596518596,0.364734021064199,0.0671023221178825,0.946500245281398,0.963070720135495,"NS","S000000013","NTG1","851218","NTG1"
"YAL016W",278.686424308005,0.510754243953032,0.210442985218709,2.42767008748813,0.0151961595146985,0.0376591657724133,"NS","S000000014","TPD3","851217","TPD3"
"YAL017W",391.495913387384,0.0978580894528072,0.183853948913865,0.533303517710883,0.593823492996223,0.698372531028491,"NS","S000000015","PSK1","851216","PSK1"
"YAL019W",110.480403897191,0.767347926667259,0.228808079421561,3.35329182476073,0.000798564607793719,0.00318910640144718,"NS","S000000017","FUN30","851214","FUN30"
